Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
votingClassifier,Entrenamiento,0.9605734767025089,1.0,0.9417989417989417,0.9424083769633509,0.9700272479564032,0.8910891089108911,1.0
votingClassifier,Prueba,0.6774193548387096,0.7,0.6666666666666666,0.5833333333333334,0.7368421052631577,0.5,0.8235294117647058
votingClassifier,Entrenamiento,0.9605734767025089,0.9888888888888889,0.9470899470899471,0.9417989417989419,0.970189701897019,0.898989898989899,0.9944444444444445
votingClassifier,Prueba,0.7096774193548387,0.6,0.7619047619047619,0.5714285714285713,0.7804878048780488,0.5454545454545454,0.8
votingClassifier,Entrenamiento,0.942652329749104,0.9777777777777777,0.9259259259259259,0.9166666666666665,0.9562841530054644,0.8627450980392157,0.9887005649717514
votingClassifier,Prueba,0.8387096774193549,0.8,0.8571428571428571,0.761904761904762,0.8780487804878048,0.7272727272727273,0.9
votingClassifier,Entrenamiento,0.9605734767025089,0.9888888888888889,0.9470899470899471,0.9417989417989419,0.970189701897019,0.898989898989899,0.9944444444444445
votingClassifier,Prueba,0.8709677419354839,0.8,0.9047619047619048,0.8000000000000002,0.9047619047619048,0.8,0.9047619047619048
votingClassifier,Entrenamiento,0.9713261648745519,1.0,0.9576719576719577,0.9574468085106383,0.9783783783783784,0.9183673469387755,1.0
votingClassifier,Prueba,0.7741935483870968,0.9,0.7142857142857143,0.7200000000000001,0.8108108108108109,0.6,0.9375
votingClassifier,Entrenamiento,0.956989247311828,1.0,0.9365079365079365,0.9375,0.9672131147540983,0.8823529411764706,1.0
votingClassifier,Prueba,0.8387096774193549,0.9,0.8095238095238095,0.7826086956521738,0.8717948717948718,0.6923076923076923,0.9444444444444444
votingClassifier,Entrenamiento,0.9713261648745519,1.0,0.9576719576719577,0.9574468085106383,0.9783783783783784,0.9183673469387755,1.0
votingClassifier,Prueba,0.8709677419354839,0.8,0.9047619047619048,0.8000000000000002,0.9047619047619048,0.8,0.9047619047619048
votingClassifier,Entrenamiento,0.967741935483871,1.0,0.9523809523809523,0.9523809523809523,0.975609756097561,0.9090909090909091,1.0
votingClassifier,Prueba,0.8387096774193549,0.9,0.8095238095238095,0.7826086956521738,0.8717948717948718,0.6923076923076923,0.9444444444444444
votingClassifier,Entrenamiento,0.956989247311828,1.0,0.9365079365079365,0.9375,0.9672131147540983,0.8823529411764706,1.0
votingClassifier,Prueba,0.9032258064516129,0.8,0.9523809523809523,0.8421052631578948,0.9302325581395349,0.8888888888888888,0.9090909090909091
votingClassifier,Entrenamiento,0.9498207885304659,0.9777777777777777,0.9365079365079365,0.9263157894736842,0.9619565217391304,0.88,0.9888268156424581
votingClassifier,Prueba,0.8064516129032258,0.7,0.8571428571428571,0.7,0.8571428571428571,0.7,0.8571428571428571
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6451612903225806,0.4,0.7619047619047619,0.4210526315789474,0.7441860465116279,0.4444444444444444,0.7272727272727273
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6451612903225806,0.4,0.7619047619047619,0.4210526315789474,0.7441860465116279,0.4444444444444444,0.7272727272727273
AdaBoost,Entrenamiento,0.996415770609319,0.9888888888888889,1.0,0.9944134078212291,0.9973614775725593,1.0,0.9947368421052631
AdaBoost,Prueba,0.6774193548387096,0.6,0.7142857142857143,0.5454545454545454,0.7500000000000001,0.5,0.7894736842105263
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.8709677419354839,0.9,0.8571428571428571,0.8181818181818182,0.9,0.75,0.9473684210526315
AdaBoost,Entrenamiento,0.996415770609319,0.9888888888888889,1.0,0.9944134078212291,0.9973614775725593,1.0,0.9947368421052631
AdaBoost,Prueba,0.7419354838709677,0.8,0.7142857142857143,0.6666666666666666,0.7894736842105262,0.5714285714285714,0.8823529411764706
AdaBoost,Entrenamiento,0.989247311827957,0.9777777777777777,0.9947089947089947,0.9832402234636872,0.992084432717678,0.9887640449438202,0.9894736842105263
AdaBoost,Prueba,0.7096774193548387,0.6,0.7619047619047619,0.5714285714285713,0.7804878048780488,0.5454545454545454,0.8
AdaBoost,Entrenamiento,0.996415770609319,0.9888888888888889,1.0,0.9944134078212291,0.9973614775725593,1.0,0.9947368421052631
AdaBoost,Prueba,0.8709677419354839,0.8,0.9047619047619048,0.8000000000000002,0.9047619047619048,0.8,0.9047619047619048
AdaBoost,Entrenamiento,0.996415770609319,0.9888888888888889,1.0,0.9944134078212291,0.9973614775725593,1.0,0.9947368421052631
AdaBoost,Prueba,0.7741935483870968,0.6,0.8571428571428571,0.631578947368421,0.8372093023255814,0.6666666666666666,0.8181818181818182
AdaBoost,Entrenamiento,0.996415770609319,0.9888888888888889,1.0,0.9944134078212291,0.9973614775725593,1.0,0.9947368421052631
AdaBoost,Prueba,0.9032258064516129,0.8,0.9523809523809523,0.8421052631578948,0.9302325581395349,0.8888888888888888,0.9090909090909091
AdaBoost,Entrenamiento,0.992831541218638,0.9888888888888889,0.9947089947089947,0.9888888888888889,0.9947089947089947,0.9888888888888889,0.9947089947089947
AdaBoost,Prueba,0.8064516129032258,0.7,0.8571428571428571,0.7,0.8571428571428571,0.7,0.8571428571428571
RandomForest,Entrenamiento,0.9713261648745519,0.9555555555555556,0.9788359788359788,0.9555555555555556,0.9788359788359788,0.9555555555555556,0.9788359788359788
RandomForest,Prueba,0.7741935483870968,0.8,0.7619047619047619,0.6956521739130435,0.8205128205128205,0.6153846153846154,0.8888888888888888
RandomForest,Entrenamiento,0.96415770609319,0.9444444444444444,0.9735449735449735,0.9444444444444444,0.9735449735449735,0.9444444444444444,0.9735449735449735
RandomForest,Prueba,0.7419354838709677,0.6,0.8095238095238095,0.6,0.8095238095238095,0.6,0.8095238095238095
RandomForest,Entrenamiento,0.9605734767025089,0.9555555555555556,0.9629629629629629,0.9398907103825136,0.9706666666666668,0.9247311827956989,0.978494623655914
RandomForest,Prueba,0.6774193548387096,0.6,0.7142857142857143,0.5454545454545454,0.7500000000000001,0.5,0.7894736842105263
RandomForest,Entrenamiento,0.9713261648745519,0.9666666666666667,0.9735449735449735,0.956043956043956,0.9787234042553191,0.9456521739130435,0.983957219251337
RandomForest,Prueba,0.8387096774193549,0.8,0.8571428571428571,0.761904761904762,0.8780487804878048,0.7272727272727273,0.9
RandomForest,Entrenamiento,0.967741935483871,0.9555555555555556,0.9735449735449735,0.9502762430939227,0.9761273209549072,0.945054945054945,0.9787234042553191
RandomForest,Prueba,0.8064516129032258,0.9,0.7619047619047619,0.75,0.8421052631578947,0.6428571428571429,0.9411764705882353
RandomForest,Entrenamiento,0.9605734767025089,0.9333333333333333,0.9735449735449735,0.9385474860335196,0.9709762532981532,0.9438202247191011,0.968421052631579
RandomForest,Prueba,0.7419354838709677,0.7,0.7619047619047619,0.6363636363636365,0.8,0.5833333333333334,0.8421052631578947
RandomForest,Entrenamiento,0.967741935483871,0.9444444444444444,0.9788359788359788,0.9497206703910613,0.9762532981530344,0.9550561797752809,0.9736842105263158
RandomForest,Prueba,0.8387096774193549,0.7,0.9047619047619048,0.7368421052631577,0.8837209302325582,0.7777777777777778,0.8636363636363636
RandomForest,Entrenamiento,0.9605734767025089,0.9444444444444444,0.9682539682539683,0.9392265193370165,0.9708222811671088,0.9340659340659341,0.973404255319149
RandomForest,Prueba,0.8709677419354839,0.8,0.9047619047619048,0.8000000000000002,0.9047619047619048,0.8,0.9047619047619048
RandomForest,Entrenamiento,0.9605734767025089,0.9777777777777777,0.9523809523809523,0.9411764705882353,0.9703504043126684,0.9072164948453608,0.989010989010989
RandomForest,Prueba,0.8709677419354839,0.6,1.0,0.7499999999999999,0.9130434782608696,1.0,0.84
RandomForest,Entrenamiento,0.96415770609319,0.9444444444444444,0.9735449735449735,0.9444444444444444,0.9735449735449735,0.9444444444444444,0.9735449735449735
RandomForest,Prueba,0.8064516129032258,0.7,0.8571428571428571,0.7,0.8571428571428571,0.7,0.8571428571428571
